SSC-cover: 0.0 #test cases: 0 #adversarial examples: 0
SSC-cover: 0.20652482269503547 #test cases: 47 #adversarial examples: 10 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 48) #cond_pos 
SSC-cover: 0.20680851063829786 #test cases: 48 #adversarial examples: 10 #diff: 0.015686303026535953 #dec_layer: dense_2 #dec_pos: (0, 36) #cond_pos 
SSC-cover: 0.214468085106383 #test cases: 49 #adversarial examples: 10 #diff: 0.003921597144182942 #dec_layer: dense_1 #dec_pos: (0, 60) #cond_pos 
SSC-cover: 0.2221276595744681 #test cases: 50 #adversarial examples: 10 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 119) #cond_pos 
SSC-cover: 0.2224113475177305 #test cases: 50 #adversarial examples: 11 #diff: 0.03137257730259613 #dec_layer: dense_2 #dec_pos: (0, 25) #cond_pos 
SSC-cover: 0.2300709219858156 #test cases: 51 #adversarial examples: 11 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 73) #cond_pos 
SSC-cover: 0.23035460992907802 #test cases: 52 #adversarial examples: 11 #diff: 0.019607872355218048 #dec_layer: dense_2 #dec_pos: (0, 14) #cond_pos 
SSC-cover: 0.23063829787234041 #test cases: 52 #adversarial examples: 12 #diff: 0.01960787188773061 #dec_layer: dense_2 #dec_pos: (0, 45) #cond_pos 
SSC-cover: 0.23829787234042554 #test cases: 53 #adversarial examples: 12 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 104) #cond_pos 
SSC-cover: 0.23858156028368793 #test cases: 53 #adversarial examples: 13 #diff: 0.011764735567803497 #dec_layer: dense_2 #dec_pos: (0, 18) #cond_pos 
SSC-cover: 0.23886524822695035 #test cases: 53 #adversarial examples: 14 #diff: 0.01960787282270543 #dec_layer: dense_2 #dec_pos: (0, 46) #cond_pos 
SSC-cover: 0.23914893617021277 #test cases: 54 #adversarial examples: 14 #diff: 0.007843166706608784 #dec_layer: dense_2 #dec_pos: (0, 12) #cond_pos 
SSC-cover: 0.24680851063829787 #test cases: 55 #adversarial examples: 14 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 79) #cond_pos 
SSC-cover: 0.24709219858156029 #test cases: 55 #adversarial examples: 15 #diff: 0.0862745390218847 #dec_layer: dense_2 #dec_pos: (0, 28) #cond_pos 
SSC-cover: 0.2473758865248227 #test cases: 56 #adversarial examples: 15 #diff: 0.011764735567803497 #dec_layer: dense_2 #dec_pos: (0, 31) #cond_pos 
SSC-cover: 0.2550354609929078 #test cases: 57 #adversarial examples: 15 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 6) #cond_pos 
SSC-cover: 0.26269503546099293 #test cases: 58 #adversarial examples: 15 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 43) #cond_pos 
SSC-cover: 0.2629787234042553 #test cases: 58 #adversarial examples: 16 #diff: 0.02745100961011998 #dec_layer: dense_2 #dec_pos: (0, 37) #cond_pos 
SSC-cover: 0.27063829787234045 #test cases: 59 #adversarial examples: 16 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 80) #cond_pos 
SSC-cover: 0.27092198581560284 #test cases: 60 #adversarial examples: 16 #diff: 0.03529414733250935 #dec_layer: dense_2 #dec_pos: (0, 47) #cond_pos 
SSC-cover: 0.27858156028368797 #test cases: 61 #adversarial examples: 16 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 55) #cond_pos 
SSC-cover: 0.27886524822695036 #test cases: 62 #adversarial examples: 16 #diff: 0.011764733697853802 #dec_layer: dense_2 #dec_pos: (0, 26) #cond_pos 
SSC-cover: 0.2865248226950355 #test cases: 63 #adversarial examples: 16 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 82) #cond_pos 
SSC-cover: 0.2868085106382979 #test cases: 64 #adversarial examples: 16 #diff: 0.01176473533405975 #dec_layer: dense_2 #dec_pos: (0, 48) #cond_pos 
SSC-cover: 0.294468085106383 #test cases: 65 #adversarial examples: 16 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 20) #cond_pos 
SSC-cover: 0.3021276595744681 #test cases: 66 #adversarial examples: 16 #diff: 0.003921590599359259 #dec_layer: dense_1 #dec_pos: (0, 111) #cond_pos 
SSC-cover: 0.3024113475177305 #test cases: 67 #adversarial examples: 16 #diff: 0.01176473533405975 #dec_layer: dense_2 #dec_pos: (0, 50) #cond_pos 
SSC-cover: 0.3026950354609929 #test cases: 68 #adversarial examples: 16 #diff: 0.031372578003827256 #dec_layer: dense_2 #dec_pos: (0, 51) #cond_pos 
SSC-cover: 0.3029787234042553 #test cases: 68 #adversarial examples: 17 #diff: 0.015686303961510772 #dec_layer: dense_2 #dec_pos: (0, 42) #cond_pos 
SSC-cover: 0.30326241134751775 #test cases: 68 #adversarial examples: 18 #diff: 0.02745100937637629 #dec_layer: dense_2 #dec_pos: (0, 38) #cond_pos 
SSC-cover: 0.3109219858156028 #test cases: 69 #adversarial examples: 18 #diff: 0.0039215978454141265 #dec_layer: dense_1 #dec_pos: (0, 83) #cond_pos 
SSC-cover: 0.31858156028368795 #test cases: 70 #adversarial examples: 18 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 64) #cond_pos 
SSC-cover: 0.31886524822695034 #test cases: 71 #adversarial examples: 18 #diff: 0.01960787188773061 #dec_layer: dense_2 #dec_pos: (0, 43) #cond_pos 
SSC-cover: 0.3191489361702128 #test cases: 72 #adversarial examples: 18 #diff: 0.03529414499507233 #dec_layer: dense_2 #dec_pos: (0, 30) #cond_pos 
SSC-cover: 0.32680851063829786 #test cases: 73 #adversarial examples: 18 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 84) #cond_pos 
SSC-cover: 0.334468085106383 #test cases: 74 #adversarial examples: 18 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 93) #cond_pos 
SSC-cover: 0.3347517730496454 #test cases: 75 #adversarial examples: 18 #diff: 0.015686303260279644 #dec_layer: dense_2 #dec_pos: (0, 52) #cond_pos 
SSC-cover: 0.3350354609929078 #test cases: 76 #adversarial examples: 18 #diff: 0.007843166239121402 #dec_layer: dense_2 #dec_pos: (0, 13) #cond_pos 
SSC-cover: 0.3426950354609929 #test cases: 77 #adversarial examples: 18 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 70) #cond_pos 
SSC-cover: 0.350354609929078 #test cases: 78 #adversarial examples: 18 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 110) #cond_pos 
SSC-cover: 0.3580141843971631 #test cases: 79 #adversarial examples: 18 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 65) #cond_pos 
SSC-cover: 0.3656737588652482 #test cases: 80 #adversarial examples: 18 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 107) #cond_pos 
SSC-cover: 0.37333333333333335 #test cases: 81 #adversarial examples: 18 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 106) #cond_pos 
SSC-cover: 0.37361702127659574 #test cases: 81 #adversarial examples: 19 #diff: 0.03529414733250935 #dec_layer: dense_2 #dec_pos: (0, 53) #cond_pos 
SSC-cover: 0.37390070921985813 #test cases: 82 #adversarial examples: 19 #diff: 0.011764712602484462 #dec_layer: dense_2 #dec_pos: (0, 55) #cond_pos 
SSC-cover: 0.3741843971631206 #test cases: 82 #adversarial examples: 20 #diff: 0.01960787258896174 #dec_layer: dense_2 #dec_pos: (0, 39) #cond_pos 
SSC-cover: 0.38184397163120565 #test cases: 83 #adversarial examples: 20 #diff: 0.003921594339258538 #dec_layer: dense_1 #dec_pos: (0, 21) #cond_pos 
SSC-cover: 0.3895035460992908 #test cases: 84 #adversarial examples: 20 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 95) #cond_pos 
SSC-cover: 0.38978723404255317 #test cases: 84 #adversarial examples: 21 #diff: 0.015686304195254464 #dec_layer: dense_2 #dec_pos: (0, 0) #cond_pos 
SSC-cover: 0.3900709219858156 #test cases: 85 #adversarial examples: 21 #diff: 0.01960787165398692 #dec_layer: dense_2 #dec_pos: (0, 40) #cond_pos 
SSC-cover: 0.390354609929078 #test cases: 85 #adversarial examples: 22 #diff: 0.06274512328353588 #dec_layer: dense_2 #dec_pos: (0, 56) #cond_pos 
SSC-cover: 0.39063829787234045 #test cases: 86 #adversarial examples: 22 #diff: 0.023529441450156396 #dec_layer: dense_2 #dec_pos: (0, 1) #cond_pos 
SSC-cover: 0.39092198581560283 #test cases: 87 #adversarial examples: 22 #diff: 0.007843140965583278 #dec_layer: dense_2 #dec_pos: (0, 57) #cond_pos 
